Descriptor,Month,Loans_To_Deposit_Ratio,Liquidity_Ratio,Liquid_Asset_Structure_Ratio
2007,January,66.73,55.16,33.60
2007,February,64.22,54.37,31.26
2007,March,75.87,59.41,32.99
2007,April,67.89,51.01,27.26
2007,May,68.14,46.20,24.54
2007,June,65.98,44.48,23.75
2007,July,72.38,47.51,23.60
2007,August,70.53,40.02,22.93
2007,September,71.64,52.02,31.89
2007,October,74.08,52.51,33.38
2007,November,78.52,45.88,29.38
2007,December,83.26,48.18,30.92
2008,January,79.90,48.72,22.72
2008,February,80.61,50.13,21.55
2008,March,72.21,49.07,21.55
2008,April,79.83,48.75,19.41
2008,May,84.71,43.30,16.69
2008,June,81.90,47.57,15.65
2008,July,87.08,42.77,19.18
2008,August,84.29,40.01,17.08
2008,September,80.72,41.71,14.84
2008,October,87.36,37.22,13.57
2008,November,88.27,37.43,11.40
2008,December,86.91,37.72,9.02
2009,January,89.84,33.21,7.59
2009,February,89.63,34.15,6.18
2009,March,86.56,35.56,6.96
2009,April,87.41,35.74,6.88
2009,May,87.57,31.13,7.69
2009,June,84.48,34.73,8.23
2009,July,89.58,32.56,8.12
2009,August,89.98,27.63,6.52
2009,September,94.01,27.74,6.27
2009,October,87.31,25.93,6.91
2009,November,84.79,27.38,6.76
2009,December,84.30,26.39,6.38
2010,January,84.69,28.91,7.33
2010,February,81.18,30.75,7.30
2010,March,79.41,30.60,7.24
2010,April,79.87,30.32,8.24
2010,May,80.55,30.39,8.84
2010,June,78.10,30.29,8.32
2010,July,76.64,30.84,8.78
2010,August,75.83,31.39,8.78
2010,September,78.00,28.82,9.14
2010,October,77.63,27.74,8.32
2010,November,78.92,27.63,8.73
2010,December,52.29,27.39,8.95
2011,January,56.22,28.67,11.37
2011,February,47.49,25.81,8.51
2011,March,48.33,23.31,8.88
2011,April,48.55,19.73,7.66
2011,May,46.43,17.87,6.34
2011,June,44.89,17.94,6.15
2011,July,42.16,19.19,7.94
2011,August,43.56,21.51,10.21
2011,September,43.40,20.00,8.70
2011,October,49.60,36.10,12.80
2011,November,47.50,33.90,12.20
2011,December,44.80,42.00,13.70
2012,January,40.60,43.40,13.30
2012,February,41.50,29.60,13.06
2012,March,40.96,39.66,13.91
2012,April,50.95,45.75,16.76
2012,May,50.95,44.46,16.76
2012,June,46.86,49.23,17.19
2012,July,45.10,50.48,.
2012,August,45.69,47.33,11.42
2012,September,44.58,47.59,12.24
2012,October,43.74,49.69,15.32
2012,November,42.65,49.41,16.83
2012,December,52.29,27.39,.
2013,January,49.84,47.03,20.04
2013,February,40.62,52.55,21.85
2013,March,38.33,96.61,66.98
2013,April,39.13,65.44,38.59
2013,May,40.78,85.91,33.70
2013,June,43.92,65.06,21.90
2013,July,34.11,60.33,22.17
2013,August,32.70,51.82,17.95
2013,September,33.36,44.92,15.95
2013,October,34.64,50.74,18.87
2013,November,36.14,48.32,19.66
2013,December,36.25,46.23,20.40
2014,January,37.50,46.06,21.26
2014,February,55.51,44.98,21.33
2014,March,55.80,43.10,19.10
2014,April,55.98,39.67,16.48
2014,May,57.12,40.10,16.97
2014,June,56.79,41.97,18.87
2014,July,58.16,44.02,18.94
2014,August,59.78,44.42,18.33
2014,September,59.87,46.54,18.81
2014,October,62.76,44.57,21.96
2014,November,63.51,41.66,22.08
2014,December,63.61,38.27,17.45
2015,January,64.51,40.05,19.50
2015,February,66.33,38.24,18.72
2015,March,66.14,38.36,18.71
2015,April,64.89,37.64,17.66
2015,May,65.37,37.45,18.90
2015,June,67.78,37.86,20.08
2015,July,67.99,39.69,21.22
2015,August,69.86,39.75,19.39
2015,September,70.73,39.68,18.20
2015,October,72.65,40.84,17.35
2015,November,71.78,41.19,17.37
2015,December,69.58,42.35,17.95
2016,January,69.55,42.38,18.74
2016,February,68.94,41.15,18.53
2016,March,67.84,39.72,17.03
2016,April,68.62,39.19,18.20
2016,May,69.49,38.81,17.26
2016,June,74.87,35.57,15.37
2016,July,77.44,34.59,15.09
2016,August,79.47,46.22,19.13
2016,September,81.05,43.70,20.60
2016,October,80.47,45.15,19.88
2016,November,80.53,42.96,19.12
2016,December,79.95,45.95,19.83
2017,January,79.68,44.37,20.95
2017,February,77.55,41.66,20.83
2017,March,78.33,46.11,26.96
2017,April,80.44,45.14,22.91
